run_name,normalization,class_weighted,epoch,training_loss,training_accuracy,training_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,learning_rate,elapsed_seconds
training_stats_unweighted,training_stats,False,1,1.2735644373301287,0.40530759951749096,0.2943875812984459,1.6297582867857698,0.3116883116883117,0.1188118811881188,0.001,2.158637916960288
training_stats_unweighted,training_stats,False,2,1.1385434111726298,0.47165259348612787,0.3229342642779255,1.5424197370355779,0.37012987012987014,0.1417910447761194,0.001,1.8987921249936335
training_stats_unweighted,training_stats,False,3,1.094389926682623,0.4969843184559711,0.350178019538962,1.7598956622086561,0.34415584415584416,0.12990196078431374,0.001,1.8740104169701226
training_stats_unweighted,training_stats,False,4,1.0813900436509505,0.49939686369119424,0.34139660636781555,1.8260905402047294,0.35714285714285715,0.13613861386138615,0.001,1.8986500829923898
training_stats_unweighted,training_stats,False,5,1.0612113986285663,0.525934861278649,0.3674815092858788,1.7958959604238536,0.38311688311688313,0.14824120603015076,0.001,1.8960154579835944
training_stats_unweighted,training_stats,False,6,1.0615043110956761,0.5211097708082026,0.3727542850840164,1.8047600411749505,0.38311688311688313,0.1544502617801047,0.001,1.8850601250305772
training_stats_unweighted,training_stats,False,7,1.050923793105941,0.5018094089264173,0.3507509247998378,1.7851327363546792,0.37662337662337664,0.14720812182741116,0.001,1.9154746669810265
training_stats_unweighted,training_stats,False,8,1.0318821273177898,0.5150784077201448,0.3739146488025096,1.883731866811777,0.3961038961038961,0.19556798623063681,0.001,1.914337375026662
training_stats_unweighted,training_stats,False,9,1.0186743628417914,0.5090470446320868,0.3559752172362296,1.8542151574964647,0.37012987012987014,0.1574585635359116,0.001,1.891008000005968
training_stats_unweighted,training_stats,False,10,0.9935105435091854,0.5452352231604343,0.41204077200127237,1.7783925688111937,0.42207792207792205,0.17955801104972377,0.001,1.9761846250039525
training_stats_unweighted,training_stats,False,11,0.9661422854309635,0.5500603136308806,0.39350153487691,1.882589761312906,0.37012987012987014,0.16193181818181818,0.001,1.8972171660279855
training_stats_unweighted,training_stats,False,12,0.9478812632572234,0.5645355850422196,0.427143615543318,1.8256585938589913,0.37662337662337664,0.1676300578034682,0.001,1.856325000000652
training_stats_unweighted,training_stats,False,13,0.9114928022656136,0.5741857659831122,0.48373697248439185,1.818515003501595,0.4090909090909091,0.18714285714285714,0.001,1.9386221249587834
training_stats_unweighted,training_stats,False,14,0.9130429355888229,0.6067551266586249,0.5540812429815473,1.7401533931880802,0.42857142857142855,0.19905437352245864,0.001,1.9180840000044554
training_stats_unweighted,training_stats,False,15,0.89116300626313,0.6115802171290712,0.5561126119051994,1.8884427949979707,0.38311688311688313,0.19005102040816327,0.001,1.8766329580103047
training_stats_unweighted,training_stats,False,16,0.8737704937219332,0.6188178528347407,0.5690600132314683,1.681056227002825,0.43506493506493504,0.20870113493064313,0.001,1.8677341670263559
training_stats_unweighted,training_stats,False,17,0.8780213427629919,0.6103739445114595,0.5662390683214348,1.793727243101442,0.3961038961038961,0.1818452380952381,0.001,1.858946291031316
training_stats_unweighted,training_stats,False,18,0.8384091951878713,0.6151990349819059,0.5847712146835764,1.9191681936189726,0.33766233766233766,0.18249111725227005,0.001,1.8805056249839254
training_stats_unweighted,training_stats,False,19,0.842597603222717,0.5995174909529554,0.6050669136758281,1.7666409975522523,0.44805194805194803,0.23205741626794257,0.001,1.8513809170108289
training_stats_unweighted,training_stats,False,20,0.8275281108906818,0.6260554885404102,0.6165171207229461,1.7894398763582304,0.43506493506493504,0.17357512953367876,0.001,1.879404750012327
training_stats_unweighted,training_stats,False,21,0.8195176578977283,0.6550060313630881,0.662769514041761,1.8528680925245409,0.37662337662337664,0.2073972602739726,0.001,2.01046416698955
training_stats_unweighted,training_stats,False,22,0.8121271528150837,0.6537997587454765,0.6451129815301951,1.9429480750839432,0.34415584415584416,0.19369369369369369,0.001,1.8691591669921763
training_stats_unweighted,training_stats,False,23,0.7616311229037434,0.6815440289505428,0.6766092284900347,1.9415536174526462,0.37012987012987014,0.2071171171171171,0.001,1.8881947920308448
training_stats_unweighted,training_stats,False,24,0.7626181391525039,0.6670687575392038,0.666589425738277,1.9280824041985847,0.42207792207792205,0.2220423932337893,0.001,1.8908525829901919
training_stats_unweighted,training_stats,False,25,0.7787848063199742,0.6562123039806996,0.6863228399263954,1.9389602983152712,0.42207792207792205,0.25919057750177293,0.001,1.9207130830036476
training_stats_unweighted,training_stats,False,26,0.7293333941834683,0.6875753920386007,0.7099621244785395,2.096882182282287,0.42857142857142855,0.1864406779661017,0.001,1.9591440829681233
training_stats_unweighted,training_stats,False,27,0.7176984439281561,0.6911942098914354,0.6978256779971186,1.8554900776256213,0.4025974025974026,0.23024236037934667,0.001,1.9031710000126623
training_stats_unweighted,training_stats,False,28,0.736695858048875,0.6706875753920386,0.6957251449725808,1.810929385098544,0.461038961038961,0.27921271016269755,0.001,1.855726208013948
training_stats_unweighted,training_stats,False,29,0.7009528724362105,0.6960193003618818,0.6930034107557272,1.9776160995681564,0.3246753246753247,0.2040630768626527,0.001,1.849927416013088
training_stats_unweighted,training_stats,False,30,0.6712155787159652,0.7117008443908324,0.7226844974428297,2.0426324869131114,0.42857142857142855,0.24411764705882355,0.001,1.8681612919899635
training_stats_unweighted,training_stats,False,31,0.7015222953081994,0.6827503015681544,0.6962803683186486,2.0976534570966447,0.4090909090909091,0.2429069538565363,0.001,1.8294365420006216
training_stats_unweighted,training_stats,False,32,0.6930808505477031,0.7117008443908324,0.7242005812349775,1.994606909813819,0.44155844155844154,0.26695526695526695,0.001,1.8363513329531997
