strategy,epoch,training_loss,training_accuracy,training_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,learning_rate,elapsed_seconds
unweighted,1,1.2823592335237382,0.37273823884197826,0.25651963125024047,1.296979201304448,0.5,0.16666666666666666,0.001,3.0029675000114366
unweighted,2,1.1316178290777816,0.43184559710494574,0.3416997774243802,1.1971713490300364,0.5,0.16666666666666666,0.001,1.9817013749852777
unweighted,3,1.0923788044219713,0.45355850422195415,0.3943012841468219,1.302737099783761,0.36363636363636365,0.14583333333333334,0.001,2.195348416978959
unweighted,4,1.0630376777545392,0.4451145958986731,0.41717285696183165,1.2310085915899895,0.44805194805194803,0.16747572815533981,0.001,1.910241792036686
unweighted,5,1.0443642693060586,0.47285886610373945,0.42894920770442824,1.2374404343691738,0.44155844155844154,0.15454545454545454,0.001,1.8695533749996684
unweighted,6,1.0040517048899027,0.525934861278649,0.5181053781421944,1.307842781017353,0.2077922077922078,0.11358952600315189,0.001,1.9512724580126815
unweighted,7,1.0041074840524948,0.49819059107358266,0.5261635849154819,1.3145533567899232,0.43506493506493504,0.15227272727272728,0.001,1.9407882079831325
unweighted,8,0.9989609444385846,0.5138721351025332,0.5038226394820007,1.3816403754345783,0.24675324675324675,0.3006289308176101,0.001,2.0319766249740496
unweighted,9,0.9591947810497445,0.5283474065138721,0.5472047378683281,1.3328069959368025,0.38311688311688313,0.2837415393595169,0.001,2.079850250040181
unweighted,10,0.9577681891018002,0.5512665862484921,0.5793315619067019,1.3152016292918811,0.474025974025974,0.2848173515981735,0.001,1.8955972919939086
unweighted,11,0.9240194274375465,0.5802171290711701,0.5854512269019887,1.2922402450016566,0.4805194805194805,0.23489096573208723,0.001,2.067115084035322
unweighted,12,0.9268648044910592,0.5609167671893848,0.5586135491204531,1.3052514837933826,0.36363636363636365,0.29326224192089134,0.001,1.907111041015014
unweighted,13,0.8855324024458127,0.5922798552472859,0.6230362269336328,1.3125419585735767,0.33766233766233766,0.23185029436501262,0.001,2.019023249973543
unweighted,14,0.8658881503796548,0.6188178528347407,0.6533288777050318,1.358008623123169,0.4935064935064935,0.24716003316749585,0.001,2.191301249957178
unweighted,15,0.8380297446135876,0.6200241254523522,0.6587907203030362,1.3908883100980287,0.3181818181818182,0.21063245265372924,0.001,1.927446665999014
unweighted,16,0.8374849651345873,0.6103739445114595,0.6379475419307983,1.444876615103189,0.45454545454545453,0.28612833585962977,0.001,2.220490708015859
class_weighted,1,1.2853551631382205,0.29794933655006034,0.28699411010552656,1.3031507978191623,0.3051948051948052,0.20964247841236178,0.001,2.0033848750172183
class_weighted,2,1.1234643652010596,0.33775633293124246,0.3358579973040633,1.1489878861935108,0.3246753246753247,0.3250272331154684,0.001,2.062665375007782
class_weighted,3,1.074094076064585,0.4077201447527141,0.40891468809005577,1.2013206667714305,0.2727272727272727,0.29575970200970203,0.001,2.3838704170193523
class_weighted,4,1.0281860881605251,0.40048250904704463,0.42477276737997405,1.1539668990420056,0.24675324675324675,0.2709935553168636,0.001,2.4825205829693004
class_weighted,5,0.9985643422502948,0.4234016887816647,0.43280261743271975,1.1924608388504425,0.22077922077922077,0.23389154704944176,0.001,2.312276750046294
class_weighted,6,0.95822146761403,0.4378769601930036,0.45905374414906475,1.318378301409932,0.11038961038961038,0.11604512012147725,0.001,1.9216922919731587
class_weighted,7,0.9190556512666985,0.4330518697225573,0.47579060110279464,1.244389238295617,0.3116883116883117,0.2647413902655992,0.001,2.069211457972415
class_weighted,8,0.9550314451443128,0.44028950542822676,0.461056041954672,1.2663351901165851,0.12987012987012986,0.15657615786040444,0.001,1.9253966250107624
class_weighted,9,0.8938069194016036,0.4945717732207479,0.5205866286589722,1.2520295644735362,0.1038961038961039,0.12565784852273845,0.001,2.353649541037157
class_weighted,10,0.9064874127776833,0.4692400482509047,0.50005183176329,1.2259419924252992,0.14935064935064934,0.17782368614125188,0.001,1.935811500006821
class_vessel_balanced_sampling,1,1.2230729987739222,0.390832328106152,0.39130168019657097,1.4446872921733114,0.34415584415584416,0.2150970911044593,0.001,1.9346640839939937
class_vessel_balanced_sampling,2,1.0321410445741348,0.4945717732207479,0.4804963815619748,1.30077292237963,0.11688311688311688,0.13234832714876157,0.001,2.0434206670033745
class_vessel_balanced_sampling,3,0.989457402499651,0.53437876960193,0.5198437904331248,1.29234935401322,0.16233766233766234,0.09804439746300211,0.001,1.881588542019017
class_vessel_balanced_sampling,4,0.9818251637699233,0.5283474065138721,0.5173848646595639,1.291045108398834,0.13636363636363635,0.15372729338977148,0.001,1.850571624992881
class_vessel_balanced_sampling,5,0.9288137677351442,0.5452352231604343,0.5425544775171641,1.195456396449696,0.42857142857142855,0.3960169418085705,0.001,2.0469212500029244
class_vessel_balanced_sampling,6,0.9099986893276542,0.5838359469240049,0.574689821638921,1.2389126629024356,0.4025974025974026,0.3361116967232075,0.001,2.0645322909695096
class_vessel_balanced_sampling,7,0.8636502537997698,0.609167671893848,0.5938421635664556,1.483942564431723,0.12987012987012986,0.13267442478346353,0.001,1.9668968329788186
class_vessel_balanced_sampling,8,0.8394471758524961,0.6224366706875754,0.6078049390689263,1.2871250208322105,0.512987012987013,0.3566581784228843,0.001,2.176221582980361
class_vessel_balanced_sampling,9,0.8126848994319488,0.632086851628468,0.61981412869252,1.4792665072849818,0.14935064935064934,0.15626840070658715,0.001,2.0322077079908922
class_vessel_balanced_sampling,10,0.7990706143822112,0.646562123039807,0.625400037687729,1.3990710029354343,0.22077922077922077,0.21335804306349337,0.001,2.1105387080460787
class_vessel_balanced_sampling,11,0.794495540087991,0.6151990349819059,0.6120966133931304,1.3238999069511117,0.33766233766233766,0.2607619863013698,0.001,1.9091292080120184
class_vessel_balanced_sampling,12,0.770989545579411,0.6622436670687576,0.6541479799045518,1.3525846314120602,0.18181818181818182,0.2056154374458384,0.001,2.054956291045528
class_vessel_balanced_sampling,13,0.7513769511290712,0.661037394451146,0.6406003188639853,1.3602954009910682,0.21428571428571427,0.23452454974271011,0.001,1.9524469999596477
