method,score,threshold,coverage,selective_accuracy,selective_macro_f1
maximum_probability,maximum_probability,0.2832917273044586,1.0,0.42857142857142855,0.3960169418085705
maximum_probability,maximum_probability,0.28500795364379883,0.9935064935064936,0.43137254901960786,0.3980921539158853
maximum_probability,maximum_probability,0.29224684834480286,0.987012987012987,0.4342105263157895,0.410456116916791
maximum_probability,maximum_probability,0.294143408536911,0.9805194805194806,0.4370860927152318,0.41324240063993134
maximum_probability,maximum_probability,0.3031042516231537,0.974025974025974,0.44,0.4154755833227081
maximum_probability,maximum_probability,0.3062326908111572,0.9675324675324676,0.4429530201342282,0.4177998000022472
maximum_probability,maximum_probability,0.312091201543808,0.961038961038961,0.4391891891891892,0.4127288060874399
maximum_probability,maximum_probability,0.31231385469436646,0.9545454545454546,0.4421768707482993,0.41509914816366433
maximum_probability,maximum_probability,0.3130766451358795,0.948051948051948,0.4452054794520548,0.41757189023433294
maximum_probability,maximum_probability,0.3152664005756378,0.9415584415584416,0.4413793103448276,0.41214276633131347
maximum_probability,maximum_probability,0.3154190182685852,0.935064935064935,0.4444444444444444,0.4146662477307639
maximum_probability,maximum_probability,0.31616613268852234,0.9285714285714286,0.44755244755244755,0.41730558379862726
maximum_probability,maximum_probability,0.31642210483551025,0.922077922077922,0.44366197183098594,0.41146964758294424
maximum_probability,maximum_probability,0.3168869614601135,0.9155844155844156,0.44680851063829785,0.41275236316956465
maximum_probability,maximum_probability,0.32142049074172974,0.9090909090909091,0.45,0.4154545454545454
maximum_probability,maximum_probability,0.3220802843570709,0.9025974025974026,0.4460431654676259,0.4075598086124402
maximum_probability,maximum_probability,0.3233707845211029,0.8961038961038961,0.4420289855072464,0.39878787878787875
maximum_probability,maximum_probability,0.3238988220691681,0.8896103896103896,0.43795620437956206,0.39248650892486503
maximum_probability,maximum_probability,0.32432422041893005,0.8831168831168831,0.4411764705882353,0.3959072711691567
maximum_probability,maximum_probability,0.32481685280799866,0.8766233766233766,0.4444444444444444,0.39715102149312675
maximum_probability,maximum_probability,0.3249497711658478,0.8701298701298701,0.44776119402985076,0.39986764804985275
maximum_probability,maximum_probability,0.3250434398651123,0.8636363636363636,0.45112781954887216,0.40274265208475735
maximum_probability,maximum_probability,0.3254815638065338,0.8571428571428571,0.44696969696969696,0.3958098789755137
maximum_probability,maximum_probability,0.32565057277679443,0.8506493506493507,0.45038167938931295,0.3987605334571164
maximum_probability,maximum_probability,0.32961276173591614,0.8441558441558441,0.45384615384615384,0.399941049568533
maximum_probability,maximum_probability,0.3304416537284851,0.8376623376623377,0.4573643410852713,0.40113927738927735
maximum_probability,maximum_probability,0.3351028859615326,0.8311688311688312,0.4609375,0.4042836632453568
maximum_probability,maximum_probability,0.33546000719070435,0.8246753246753247,0.4645669291338583,0.40763347763347757
maximum_probability,maximum_probability,0.3382646441459656,0.8181818181818182,0.4603174603174603,0.3969191919191919
maximum_probability,maximum_probability,0.3383557200431824,0.8116883116883117,0.464,0.4003540784185945
maximum_probability,maximum_probability,0.3386123478412628,0.8051948051948052,0.4596774193548387,0.38776148582600195
maximum_probability,maximum_probability,0.33958014845848083,0.7987012987012987,0.4634146341463415,0.3912270243417784
maximum_probability,maximum_probability,0.3417701721191406,0.7922077922077922,0.4672131147540984,0.39245983323164535
maximum_probability,maximum_probability,0.3424759805202484,0.7857142857142857,0.47107438016528924,0.39371208650869666
maximum_probability,maximum_probability,0.342998206615448,0.7792207792207793,0.4666666666666667,0.3785605713571815
maximum_probability,maximum_probability,0.3449954390525818,0.7727272727272727,0.47058823529411764,0.3819534379879208
maximum_probability,maximum_probability,0.3460526764392853,0.7662337662337663,0.4745762711864407,0.399161230195713
maximum_probability,maximum_probability,0.3500370979309082,0.7597402597402597,0.4700854700854701,0.39800425129900807
maximum_probability,maximum_probability,0.35203036665916443,0.7532467532467533,0.47413793103448276,0.4021028598894497
maximum_probability,maximum_probability,0.3526883125305176,0.7467532467532467,0.4782608695652174,0.4076225045372051
maximum_probability,maximum_probability,0.3530339002609253,0.7402597402597403,0.4824561403508772,0.425438596491228
maximum_probability,maximum_probability,0.3551771938800812,0.7337662337662337,0.4778761061946903,0.4016290726817043
maximum_probability,maximum_probability,0.35665830969810486,0.7272727272727273,0.48214285714285715,0.40668767507002807
maximum_probability,maximum_probability,0.35685306787490845,0.7207792207792207,0.4774774774774775,0.40551396614984025
maximum_probability,maximum_probability,0.35752159357070923,0.7142857142857143,0.4818181818181818,0.4068500127323657
maximum_probability,maximum_probability,0.35798409581184387,0.7077922077922078,0.48623853211009177,0.4125330687830688
maximum_probability,maximum_probability,0.35819733142852783,0.7012987012987013,0.49074074074074076,0.41389824797843666
maximum_probability,maximum_probability,0.3582751154899597,0.6948051948051948,0.48598130841121495,0.4127077717879605
maximum_probability,maximum_probability,0.35868972539901733,0.6883116883116883,0.4811320754716981,0.41148228159188205
maximum_probability,maximum_probability,0.3592253625392914,0.6818181818181818,0.4857142857142857,0.41288919413919417
maximum_probability,maximum_probability,0.35927873849868774,0.6753246753246753,0.49038461538461536,0.43794249904324534
maximum_probability,maximum_probability,0.36012545228004456,0.6688311688311688,0.49514563106796117,0.4393935205661212
maximum_probability,maximum_probability,0.3605073392391205,0.6623376623376623,0.49019607843137253,0.41707209199469264
maximum_probability,maximum_probability,0.3611258268356323,0.6558441558441559,0.49504950495049505,0.4516870384517444
maximum_probability,maximum_probability,0.36117640137672424,0.6493506493506493,0.5,0.4531842966194112
maximum_probability,maximum_probability,0.36145254969596863,0.6428571428571429,0.494949494949495,0.45197120708748617
maximum_probability,maximum_probability,0.36181554198265076,0.6363636363636364,0.4897959183673469,0.45071991001124856
maximum_probability,maximum_probability,0.36224573850631714,0.6298701298701299,0.4948453608247423,0.4522675736961451
maximum_probability,maximum_probability,0.3633858561515808,0.6233766233766234,0.5,0.45797466422466426
maximum_probability,maximum_probability,0.36340782046318054,0.6168831168831169,0.49473684210526314,0.45669458229942106
maximum_probability,maximum_probability,0.36462992429733276,0.6103896103896104,0.5,0.4633264699153512
maximum_probability,maximum_probability,0.3647313416004181,0.6038961038961039,0.4946236559139785,0.4299931365820178
maximum_probability,maximum_probability,0.3648702800273895,0.5974025974025974,0.5,0.43160127253446445
maximum_probability,maximum_probability,0.3664143979549408,0.5909090909090909,0.5054945054945055,0.4332422586520947
maximum_probability,maximum_probability,0.3669673502445221,0.5844155844155844,0.5,0.43194444444444446
maximum_probability,maximum_probability,0.36783209443092346,0.577922077922078,0.5056179775280899,0.5167133520074697
maximum_probability,maximum_probability,0.367925226688385,0.5714285714285714,0.5,0.5153846153846154
maximum_probability,maximum_probability,0.36850517988204956,0.564935064935065,0.4942528735632184,0.5140096618357488
maximum_probability,maximum_probability,0.3691408038139343,0.5584415584415584,0.5,0.5218379446640317
maximum_probability,maximum_probability,0.3696672022342682,0.551948051948052,0.49411764705882355,0.5204143201930813
maximum_probability,maximum_probability,0.3696824014186859,0.5454545454545454,0.4880952380952381,0.509050683829445
maximum_probability,maximum_probability,0.3721555769443512,0.538961038961039,0.4939759036144578,0.518141592920354
maximum_probability,maximum_probability,0.3740858733654022,0.5324675324675324,0.5,0.5292527040314652
maximum_probability,maximum_probability,0.37431246042251587,0.525974025974026,0.5061728395061729,0.5307539682539683
maximum_probability,maximum_probability,0.37588733434677124,0.5194805194805194,0.5125,0.5446428571428572
maximum_probability,maximum_probability,0.376444935798645,0.512987012987013,0.5189873417721519,0.564028314028314
maximum_probability,maximum_probability,0.3775902986526489,0.5064935064935064,0.5128205128205128,0.41870441870441866
maximum_probability,maximum_probability,0.3778347373008728,0.5,0.5064935064935064,0.41677588466579296
maximum_probability,maximum_probability,0.378045916557312,0.4935064935064935,0.5,0.4147752558967512
maximum_probability,maximum_probability,0.3803895115852356,0.487012987012987,0.49333333333333335,0.41269841269841273
maximum_probability,maximum_probability,0.38204312324523926,0.4805194805194805,0.5,0.4444444444444444
maximum_probability,maximum_probability,0.38388288021087646,0.474025974025974,0.4931506849315068,0.44228694714131606
maximum_probability,maximum_probability,0.38434964418411255,0.4675324675324675,0.5,0.4444444444444444
maximum_probability,maximum_probability,0.38466450572013855,0.461038961038961,0.5070422535211268,0.44664466446644663
maximum_probability,maximum_probability,0.3857533931732178,0.45454545454545453,0.5142857142857142,0.4488888888888889
maximum_probability,maximum_probability,0.3857972025871277,0.44805194805194803,0.5217391304347826,0.4511784511784511
maximum_probability,maximum_probability,0.3861026465892792,0.44155844155844154,0.5147058823529411,0.44902634593356244
maximum_probability,maximum_probability,0.38822853565216064,0.43506493506493504,0.5223880597014925,0.45138888888888884
maximum_probability,maximum_probability,0.38842353224754333,0.42857142857142855,0.5303030303030303,0.45380116959064326
maximum_probability,maximum_probability,0.3893152177333832,0.42207792207792205,0.5230769230769231,0.4516129032258065
maximum_probability,maximum_probability,0.3893463909626007,0.4155844155844156,0.53125,0.49605734767025095
maximum_probability,maximum_probability,0.3902188539505005,0.4090909090909091,0.5396825396825397,0.4985507246376812
maximum_probability,maximum_probability,0.3906119763851166,0.4025974025974026,0.532258064516129,0.4962962962962963
maximum_probability,maximum_probability,0.3906322717666626,0.3961038961038961,0.5409836065573771,0.4988764044943821
maximum_probability,maximum_probability,0.3911023736000061,0.38961038961038963,0.5333333333333333,0.4965517241379311
maximum_probability,maximum_probability,0.39136114716529846,0.38311688311688313,0.5254237288135594,0.49411764705882355
maximum_probability,maximum_probability,0.39147505164146423,0.37662337662337664,0.5172413793103449,0.491566265060241
maximum_probability,maximum_probability,0.3920205533504486,0.37012987012987014,0.5087719298245614,0.48888888888888893
maximum_probability,maximum_probability,0.3924417197704315,0.36363636363636365,0.5,0.4860759493670886
maximum_probability,maximum_probability,0.39488059282302856,0.35714285714285715,0.509090909090909,0.48888888888888893
maximum_probability,maximum_probability,0.39575013518333435,0.35064935064935066,0.5,0.48596491228070177
maximum_probability,maximum_probability,0.39582473039627075,0.34415584415584416,0.5094339622641509,0.48888888888888893
maximum_probability,maximum_probability,0.3965432643890381,0.33766233766233766,0.5,0.4858447488584475
maximum_probability,maximum_probability,0.3967059850692749,0.33116883116883117,0.49019607843137253,0.48262910798122066
maximum_probability,maximum_probability,0.3983117640018463,0.3246753246753247,0.48,0.4792270531400966
maximum_probability,maximum_probability,0.3999267816543579,0.3181818181818182,0.4897959183673469,0.48235294117647065
maximum_probability,maximum_probability,0.40176817774772644,0.3116883116883117,0.5,0.4855721393034826
maximum_probability,maximum_probability,0.40363362431526184,0.3051948051948052,0.5106382978723404,0.5522388059701493
maximum_probability,maximum_probability,0.40364640951156616,0.2987012987012987,0.5,0.5522388059701493
maximum_probability,maximum_probability,0.40407755970954895,0.2922077922077922,0.4888888888888889,0.5487179487179487
maximum_probability,maximum_probability,0.40491974353790283,0.2857142857142857,0.5,0.5520833333333334
maximum_probability,maximum_probability,0.4049232304096222,0.2792207792207792,0.4883720930232558,0.5483870967741935
maximum_probability,maximum_probability,0.4050019085407257,0.2727272727272727,0.5,0.5519125683060109
maximum_probability,maximum_probability,0.40572524070739746,0.2662337662337662,0.4878048780487805,0.5480225988700566
maximum_probability,maximum_probability,0.4074023365974426,0.2597402597402597,0.5,0.5517241379310345
maximum_probability,maximum_probability,0.40751585364341736,0.2532467532467532,0.48717948717948717,0.5476190476190476
maximum_probability,maximum_probability,0.40915995836257935,0.24675324675324675,0.5,0.5515151515151515
maximum_probability,maximum_probability,0.4095565676689148,0.24025974025974026,0.4864864864864865,0.5471698113207547
maximum_probability,maximum_probability,0.4099072813987732,0.23376623376623376,0.5,0.5512820512820512
maximum_probability,maximum_probability,0.411027729511261,0.22727272727272727,0.5142857142857142,0.5555555555555555
maximum_probability,maximum_probability,0.41102808713912964,0.22077922077922077,0.5,0.5510204081632653
maximum_probability,maximum_probability,0.4115922451019287,0.21428571428571427,0.48484848484848486,0.5460992907801419
maximum_probability,maximum_probability,0.4118557572364807,0.2077922077922078,0.46875,0.5407407407407407
maximum_probability,maximum_probability,0.41204288601875305,0.2012987012987013,0.45161290322580644,0.5348837209302325
maximum_probability,maximum_probability,0.4125082194805145,0.19480519480519481,0.43333333333333335,0.5284552845528455
maximum_probability,maximum_probability,0.4126552641391754,0.18831168831168832,0.4482758620689655,0.5333333333333333
maximum_probability,maximum_probability,0.4129941463470459,0.18181818181818182,0.4642857142857143,0.5384615384615384
maximum_probability,maximum_probability,0.41319864988327026,0.17532467532467533,0.4444444444444444,0.5315315315315315
maximum_probability,maximum_probability,0.413637638092041,0.16883116883116883,0.4230769230769231,0.5238095238095238
maximum_probability,maximum_probability,0.4141819179058075,0.16233766233766234,0.4,0.5151515151515151
maximum_probability,maximum_probability,0.41419053077697754,0.15584415584415584,0.375,0.5053763440860215
maximum_probability,maximum_probability,0.4142303168773651,0.14935064935064934,0.34782608695652173,0.4942528735632184
maximum_probability,maximum_probability,0.4153579771518707,0.14285714285714285,0.3181818181818182,0.48148148148148145
maximum_probability,maximum_probability,0.4161387085914612,0.13636363636363635,0.3333333333333333,0.4871794871794872
maximum_probability,maximum_probability,0.4165613055229187,0.12987012987012986,0.3,0.47222222222222227
maximum_probability,maximum_probability,0.41696521639823914,0.12337662337662338,0.2631578947368421,0.4545454545454546
maximum_probability,maximum_probability,0.4173099100589752,0.11688311688311688,0.2222222222222222,0.43333333333333335
maximum_probability,maximum_probability,0.41763898730278015,0.11038961038961038,0.17647058823529413,0.40740740740740744
maximum_probability,maximum_probability,0.41781100630760193,0.1038961038961039,0.1875,0.411764705882353
maximum_probability,maximum_probability,0.4180479943752289,0.09740259740259741,0.2,0.4166666666666667
maximum_probability,maximum_probability,0.4206281006336212,0.09090909090909091,0.14285714285714285,0.38095238095238093
maximum_probability,maximum_probability,0.42105206847190857,0.08441558441558442,0.15384615384615385,0.3846153846153846
maximum_probability,maximum_probability,0.4210830628871918,0.07792207792207792,0.08333333333333333,0.3333333333333333
maximum_probability,maximum_probability,0.42269837856292725,0.07142857142857142,0.09090909090909091,0.3333333333333333
maximum_probability,maximum_probability,0.4309989809989929,0.06493506493506493,0.1,0.3333333333333333
maximum_probability,maximum_probability,0.4314333498477936,0.05844155844155844,0.1111111111111111,0.3333333333333333
maximum_probability,maximum_probability,0.43170803785324097,0.05194805194805195,0.125,0.3333333333333333
maximum_probability,maximum_probability,0.43176040053367615,0.045454545454545456,0.14285714285714285,0.3333333333333333
maximum_probability,maximum_probability,0.4336985945701599,0.03896103896103896,0.16666666666666666,0.3333333333333333
maximum_probability,maximum_probability,0.4396172761917114,0.032467532467532464,0.2,0.3333333333333333
maximum_probability,maximum_probability,0.4443521499633789,0.025974025974025976,0.25,0.3333333333333333
maximum_probability,maximum_probability,0.4459676146507263,0.01948051948051948,0.3333333333333333,0.3333333333333333
maximum_probability,maximum_probability,0.4495495557785034,0.012987012987012988,0.5,0.3333333333333333
maximum_probability,maximum_probability,0.5120353102684021,0.006493506493506494,1.0,1.0
embedding_distance,embedding_distance,1.6325954342106328,0.006493506493506494,0.0,0.0
embedding_distance,embedding_distance,1.9255993669041098,0.012987012987012988,0.5,0.3333333333333333
embedding_distance,embedding_distance,1.9290406663380257,0.01948051948051948,0.3333333333333333,0.25
embedding_distance,embedding_distance,1.9697503182056713,0.025974025974025976,0.5,0.3333333333333333
embedding_distance,embedding_distance,2.040265474017028,0.032467532467532464,0.4,0.2857142857142857
embedding_distance,embedding_distance,2.1175461239566493,0.03896103896103896,0.3333333333333333,0.25
embedding_distance,embedding_distance,2.2852554673191214,0.045454545454545456,0.42857142857142855,0.3
embedding_distance,embedding_distance,2.2886405482942624,0.05194805194805195,0.375,0.2727272727272727
embedding_distance,embedding_distance,2.2959048238097894,0.05844155844155844,0.4444444444444444,0.3076923076923077
embedding_distance,embedding_distance,2.306753460357544,0.06493506493506493,0.5,0.3333333333333333
embedding_distance,embedding_distance,2.392240088306794,0.07142857142857142,0.45454545454545453,0.3125
embedding_distance,embedding_distance,2.458201220929791,0.07792207792207792,0.5,0.3333333333333333
embedding_distance,embedding_distance,2.4650481593644074,0.08441558441558442,0.5384615384615384,0.35
embedding_distance,embedding_distance,2.6451071335289584,0.09090909090909091,0.5,0.3333333333333333
embedding_distance,embedding_distance,2.658387754885972,0.09740259740259741,0.5333333333333333,0.34782608695652173
embedding_distance,embedding_distance,2.6787525706752993,0.1038961038961039,0.5625,0.36
embedding_distance,embedding_distance,2.681352329778846,0.11038961038961038,0.5882352941176471,0.37037037037037035
embedding_distance,embedding_distance,2.7069616981921976,0.11688311688311688,0.6111111111111112,0.3793103448275862
embedding_distance,embedding_distance,2.872271112969393,0.12337662337662338,0.5789473684210527,0.36666666666666664
embedding_distance,embedding_distance,2.957941296131121,0.12987012987012986,0.55,0.3548387096774194
embedding_distance,embedding_distance,2.958488077161133,0.13636363636363635,0.5714285714285714,0.36363636363636365
embedding_distance,embedding_distance,2.9672843036662844,0.14285714285714285,0.5909090909090909,0.37142857142857144
embedding_distance,embedding_distance,3.057847188839951,0.14935064935064934,0.5652173913043478,0.3611111111111111
embedding_distance,embedding_distance,3.0643845932813782,0.15584415584415584,0.5416666666666666,0.35135135135135137
embedding_distance,embedding_distance,3.0760980272181317,0.16233766233766234,0.52,0.34210526315789475
embedding_distance,embedding_distance,3.1122083954585955,0.16883116883116883,0.5,0.3333333333333333
embedding_distance,embedding_distance,3.128827832323835,0.17532467532467533,0.48148148148148145,0.325
embedding_distance,embedding_distance,3.1367596116417773,0.18181818181818182,0.5,0.3333333333333333
embedding_distance,embedding_distance,3.1462448987680784,0.18831168831168832,0.5172413793103449,0.3409090909090909
embedding_distance,embedding_distance,3.2598743915151305,0.19480519480519481,0.5333333333333333,0.34782608695652173
embedding_distance,embedding_distance,3.2814361573737765,0.2012987012987013,0.5161290322580645,0.3404255319148936
embedding_distance,embedding_distance,3.285542252554891,0.2077922077922078,0.5,0.3333333333333333
embedding_distance,embedding_distance,3.4284133768588023,0.21428571428571427,0.48484848484848486,0.32653061224489793
embedding_distance,embedding_distance,3.4551873750349027,0.22077922077922077,0.47058823529411764,0.32
embedding_distance,embedding_distance,3.480954373807957,0.22727272727272727,0.45714285714285713,0.3137254901960784
embedding_distance,embedding_distance,3.5717482855217244,0.23376623376623376,0.4444444444444444,0.3076923076923077
embedding_distance,embedding_distance,3.611716658177,0.24025974025974026,0.4594594594594595,0.3148148148148148
embedding_distance,embedding_distance,3.6154814616186446,0.24675324675324675,0.4473684210526316,0.3090909090909091
embedding_distance,embedding_distance,3.6419266630382174,0.2532467532467532,0.46153846153846156,0.3157894736842105
embedding_distance,embedding_distance,3.6658623358902775,0.2597402597402597,0.45,0.3103448275862069
embedding_distance,embedding_distance,3.6680834155469415,0.2662337662337662,0.43902439024390244,0.3050847457627119
embedding_distance,embedding_distance,3.696529168728875,0.2727272727272727,0.42857142857142855,0.3
embedding_distance,embedding_distance,3.7600612691390234,0.2792207792207792,0.4418604651162791,0.3064516129032258
embedding_distance,embedding_distance,3.913231900429778,0.2857142857142857,0.4318181818181818,0.30158730158730157
embedding_distance,embedding_distance,3.991139072597197,0.2922077922077922,0.4222222222222222,0.296875
embedding_distance,embedding_distance,4.026350940154217,0.2987012987012987,0.43478260869565216,0.30303030303030304
embedding_distance,embedding_distance,4.071410070221216,0.3051948051948052,0.425531914893617,0.29850746268656714
embedding_distance,embedding_distance,4.076556304641536,0.3116883116883117,0.4166666666666667,0.29411764705882354
embedding_distance,embedding_distance,4.086681678475565,0.3181818181818182,0.42857142857142855,0.3
embedding_distance,embedding_distance,4.099328471741407,0.3246753246753247,0.44,0.3055555555555556
embedding_distance,embedding_distance,4.132997192774684,0.33116883116883117,0.45098039215686275,0.3108108108108108
embedding_distance,embedding_distance,4.133246340084056,0.33766233766233766,0.4423076923076923,0.30666666666666664
embedding_distance,embedding_distance,4.17633930545576,0.34415584415584416,0.4528301886792453,0.3116883116883117
embedding_distance,embedding_distance,4.203041501840666,0.35064935064935066,0.4444444444444444,0.3076923076923077
embedding_distance,embedding_distance,4.227594941142734,0.35714285714285715,0.45454545454545453,0.3125
embedding_distance,embedding_distance,4.256190157459691,0.36363636363636365,0.4642857142857143,0.3170731707317073
embedding_distance,embedding_distance,4.304763206851058,0.37012987012987014,0.47368421052631576,0.32142857142857145
embedding_distance,embedding_distance,4.406708204186054,0.37662337662337664,0.46551724137931033,0.3176470588235294
embedding_distance,embedding_distance,4.410129282276564,0.38311688311688313,0.4745762711864407,0.3218390804597701
